email,first_name,company,dba,city,type,tax_vulnerability
info@lovesupremecannabis.com,Operations Director,Love Supreme Cultivations,Love Supreme,Grand Rapids,Microbusiness,high (24% wholesale)
ops@skymint.com,Operations Director,Green Peak Industries LLC,Skymint,Lansing,Processor,high (24% wholesale)
erik@lionlabsmi.com,Erik,Lion Labs Ltd,Lion Labs,Lansing,Processor,high (24% wholesale)
bobschwartz@tendharvestcultivate.com,Bob Schwartz,Fluresh LLC,Tend.Harvest.Cultivate.,Grand Rapids,Processor,high (24% wholesale)
info@fortuo.com,Operations Director,Fortuo,Fortuo,Lansing,Microbusiness,high (24% wholesale)
ops@truucannabis.com,Operations Director,Jartnick Consulting LLC,Truu Cannabis,Lansing,Processor,high (24% wholesale)
ops@insanopharms.com,Operations Director,SJS II LLC,Insano Pharms,Lansing,Processor,high (24% wholesale)
ops@drivengrow.com,Operations Director,Driven Grow LLC,Driven Grow,Lansing,Processor,high (24% wholesale)
ops@premierbotanics.com,Operations Director,Premier Botanics LLC,Premier Botanics,Lowell,Microbusiness,high (24% wholesale)
ops@indigrow.com,Operations Director,IndiGrow LLC,IndiGrow,Muskegon,Microbusiness,high (24% wholesale)
ops@cavanaugh.com,Operations Director,1520 Cavanaugh II LLC,Cavanaugh,Lansing,Processor,high (24% wholesale)
