company,domain,industry,icp_titles,region,priority,angle,research_notes,status
Asket,asket.com,apparel,"Founder; Head of Sustainability; Product Director",EU/SE,1,EU textile DPP readiness 2027-28,Premium basics brand selling into EU — strong ESPR/DPP fit,todo
Tentree,tentree.com,apparel,"Head of Sustainability; VP Operations; Founder",CA/EU,1,EU DPP + material traceability for EU sales,Sustainability-led apparel; likely EU market exposure,todo
Kotn,kotn.com,apparel,"Founder; Head of Impact; Supply Chain Director",CA/EU,1,Cotton traceability → DPP data readiness,Vertical cotton supply chain; passport data is a natural fit,todo
Outerknown,outerknown.com,apparel,"Sustainability Lead; COO; Founder",US/EU,2,EU market labeling + passport gaps,Ron Herman / Kelly Slater brand; EU wholesale likely,todo
Everlane,everlane.com,apparel,"Head of Sustainability; VP Product; Compliance",US/EU,2,ESPR/DPP readiness for EU DTC,Transparent supply chain brand; EU shipping,todo
Allbirds,allbirds.com,apparel,"Head of Sustainability; VP Supply Chain; Compliance",US/EU,2,Product passport for EU footwear/apparel,Public sustainability reporting; EU stores/sales,todo
Reformation,reformation.com,apparel,"VP Sustainability; Head of Compliance; COO",US/EU,2,Textile DPP readiness audit,Sustainability-forward fashion; EU expansion risk,todo
Patagonia,patagonia.com,apparel,"Director Environmental Responsibility; Supply Chain",US/EU,3,DPP data layer for existing traceability stack,Enterprise-scale; longer cycle — nurture carefully,todo
Lion Labs,lionlabsmi.com,cannabis,"Founder; Compliance Officer; Operations",US-MI,2,Traceability / buyer compliance pressure,Prior warm MI processor; prefer named DM not ops@,todo
Skymint,skymint.com,cannabis,"VP Compliance; Director of Operations; Founder",US-MI,3,Track-and-trace adjacent; only if named DM found,Large MI operator — do not use ops@,todo
Love Supreme,lovesupremecannabis.com,cannabis,"Owner; Compliance Manager",US-MI,3,Only with verified personal email,Prior bounce risk on info@ — research named owner,todo
Truu Cannabis,truucannabis.com,cannabis,"Owner; Compliance",US-MI,3,Only with verified personal email,Replace ops@ before any send,todo
Insano Pharms,insanopharms.com,cannabis,"Owner; Head of Compliance",US-MI,3,Only with verified personal email,Replace ops@ before any send,todo
Premier Botanics,premierbotanics.com,cannabis,"Owner; Compliance",US-MI,3,Only with verified personal email,Replace ops@ before any send,todo
IndiGrow,indigrow.com,cannabis,"Owner; Compliance",US-MI,2,Queued remnant — research named DM before send,Still in Worker queue; upgrade contact before next send day,todo
